,Title,Published_date,Views,Likes,Comments,Month
171,Aventador SVJ v NISMO GT-R v M5 CS: DRAG RACE,2022-03-19,3129636,94932,4489,Mar
621,Porsche 911 Turbo S vs 716hp Audi RS3: DRAG RACE,2020-10-14,3089282,105729,6604,Oct
874,New Land Rover Defender 2020 in-depth walk round - EVERYTHING you need to know.,2019-09-10,3077990,46746,6709,Sep
699,AMG CLA 45 S review - see how quick it REALLY is to 60mph!,2020-07-03,3077075,53423,2334,Jul
849,"Mercedes-AMG SLS Black Series review - see why they're now worth £750,000!",2019-10-18,3073467,65796,2812,Oct
853,"BMW X4M v AMG G63 v Cayenne Turbo v Bowler Bulldog V8 - DRAG RACE, ROLLING RACE & BRAKE TEST",2019-10-12,3073065,60958,2829,Oct
775,New 2000hp Lotus Evija EV EXCLUSIVE!!!!,2020-02-18,3070531,75454,5981,Feb
953,Mercedes EQC 2020 review - see if it's a Tesla Model X beater!,2019-05-15,3068296,44387,3876,May
1182,New Volkswagen Touareg SUV 2019 review - better than an Audi Q7 and Bentley Bentayga!,2018-05-12,3063046,31954,2345,May
284,Ferrari F8 v McLaren 765LT v 911 GT2 RS: DRAG RACE,2021-11-20,3046222,109962,5609,Nov
1062,New VW Camper - Volkswagen California 2019 in-depth review,2018-12-06,3041448,33065,1662,Dec
643,Civic Type R v MINI GP v I30 N v Focus ST - DRAG RACE,2020-09-12,3026647,72883,6863,Sep
619,New vs Old Land Rover Defender: Up-Hill DRAG RACE & Off-Road Battle!,2020-10-16,3024035,64226,6448,Oct
839,Mercedes C-Class 2020 in-depth review | carwow Reviews,2019-10-30,3014845,30416,1673,Oct
644,BMW M8 Gran Coupé review - you won't believe its 1/4 mile time!,2020-09-11,2987753,57209,3531,Sep
279,Audi RS3 v AMG A45 v BMW M2 v Porsche Cayman GTS v VW Golf R: DRAG RACE,2021-11-27,2979341,91123,4686,Nov
1015,BMW 8 Series 2020 in-depth review | carwow Reviews,2019-02-22,2967734,35004,2878,Feb
829,Audi R8 v RC Car v Drone v AMG G63: DRAG RACE,2019-11-16,2963082,82080,2744,Nov
864,Audi RS7 2020 review – tested 0-60mph and on the Autobahn!,2019-09-25,2961641,50885,3082,Sep
886,Mercedes CLA 2020 in-depth review | carwow Reviews,2019-08-27,2957542,30076,1933,Aug
669,Audi R8 vs RSQ8: DRAG RACE!,2020-08-11,2954705,78312,3761,Aug
732,BMW M3 v AMG C63 v Audi RS4: V8 DRAG RACE,2020-05-09,2945492,72759,4951,May
410,Mercedes C-Class 2021 review -  S-Class luxury for less!,2021-06-28,2944211,55545,3998,Jun
116,Nissan GT-R generations DRAG RACE,2022-05-21,2938033,109394,5447,May
672,New BMW M2 CS vs AMG A45 S vs Audi RS3: DRAG RACE!,2020-08-08,2934008,73673,4024,Aug
67,Porsche 918 Spyder v Red Bull MotoGP Bike: DRAG RACE,2022-07-09,2925973,141278,10849,Jul
605,Porsche 911 GT3 vs Bentley Continental GT - DRAG RACE!,2020-11-04,2925729,98164,4735,Nov
1448,Volkswagen Arteon 2018 review - is it better than an Audi?,2017-06-07,2922393,24937,2695,Jun
1042,Peugeot 508 2020 in-depth review | carwow Reviews,2019-01-11,2921380,28337,3610,Jan
626,BMW E46 M3 vs E36 M3 vs M2 Comp: DRAG RACE,2020-10-08,2920522,77124,4832,Oct
257,We drove these electric cars until they DIED!,2021-12-23,2911399,54949,4888,Dec
122,EVERY Lamborghini Aventador DRAG RACE,2022-05-14,2900345,134084,7833,May
427,"2,000hp Rimac Nevera REVIEW with 0-60mph, 1/4-mile, brake & DRIFT test!",2021-06-09,2892415,78345,5225,Jun
761,Bentley Flying Spur vs Audi RS7 vs Porsche Panamera Turbo S - DRAG RACE!,2020-03-14,2870903,61313,2686,Mar
622,2020 Corvette C8 review: see how quick it is 0-60mph + 1/4mile... And the shocking UK price!,2020-10-13,2860872,67719,8796,Oct
769,The new BMW X6M is bonkers quick! REVIEW,2020-02-29,2833732,52338,2811,Feb
740,Off-roading for cheap: proof you DON'T need a 4X4 or SUV!,2020-04-25,2833010,67289,4868,Apr
